Country,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
0,27.7,16.4,22.7,1.0,18.2,38.5,37519.91
0,27.6,12.5,21.1,1.0,16.5,33.5,38180.84
0,27.1,10.0,20.1,1.0,15.6,32.4,38038.54
0,26.5,12.9,20.7,1.0,13.2,27.7,37972.44
0,26.3,11.0,20.0,1.0,13.8,28.8,37906.31
0,26.9,10.1,19.9,1.0,14.6,29.9,37835.27
0,28.0,11.8,20.6,1.0,12.3,27.7,37562.96
0,28.9,13.0,21.4,1.0,13.5,27.0,37428.78
0,31.1,14.3,23.1,1.0,13.7,30.2,37298.18
0,31.1,15.3,23.5,1.0,15.1,29.2,37171.36
0,30.3,14.5,23.2,1.0,16.2,29.2,37048.56
0,31.0,12.3,22.6,1.0,18.0,37.1,36929.95
0,29.7,15.0,22.4,1.0,13.0,28.4,36815.69
0,30.8,12.9,22.0,1.0,13.5,29.9,36706.04
0,29.3,11.6,21.9,1.0,13.0,29.5,36601.14
0,27.1,10.4,20.4,1.0,10.8,24.8,36501.18
0,26.3,10.7,19.5,1.0,12.6,24.8,36493.27
0,26.9,9.6,19.7,1.0,10.9,20.5,36400.45
0,27.6,9.0,19.6,1.0,10.4,19.8,36312.89
0,28.2,10.4,20.9,1.0,9.8,16.6,36230.82
0,28.9,10.8,20.7,1.0,10.6,20.2,36228.18
0,28.8,11.9,21.0,1.0,12.9,25.6,36154.26
0,26.8,10.3,19.1,1.0,12.6,24.8,36152.93
0,27.3,9.8,19.3,1.0,12.6,25.2,36038.26
0,25.1,9.4,18.7,1.0,13.6,27.0,35929.58
0,23.6,10.0,17.7,1.0,10.0,23.8,35882.53
0,23.7,10.7,17.6,1.0,10.1,23.0,35799.23
0,24.6,12.3,18.5,1.0,11.1,22.0,35748.1
0,24.8,12.7,18.8,1.0,11.8,23.0,35696.67
0,24.5,10.7,18.2,1.0,13.7,25.9,35644.98
0,23.4,9.2,17.0,1.0,18.4,36.7,35593.05
0,21.3,10.7,16.2,1.0,14.3,30.6,35540.95
0,20.5,7.2,14.6,1.0,12.4,25.9,35488.71
0,20.8,10.3,15.5,1.0,13.7,28.8,33191.92
0,22.5,11.1,17.1,1.0,9.9,23.0,35384.04
0,20.6,9.2,14.7,1.0,17.9,36.4,35331.68
0,19.0,3.8,11.6,1.0,20.2,40.7,35279.4
